Core,Species,Sp_code,Tree,Repeat,Date_collected,Section,Fresh_Mass,Length_p,Length_d,Notes,Stored,Dry_Mass
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,32,0.1848,308,318,,Stored,0.1222
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,33,0.1714,318,328,,Stored,0.1125
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,34,0.1685,328,338,,Stored,0.1147
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,35,0.1687,338,348,,Stored,0.1156
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,36,0.1817,348,358,,Stored,0.1236
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,37,0.1744,358,368,,Stored,0.117
Core_Alph_2,Alphitonia petriei,ALPH,2,a,19-Jun-15,38,0.0341,368,370,"1.87,2.39",Stored,0.0235
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,1,0.2158,0,10,6.20 bark of 10,Stored,0.0906
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,2,0.2099,20,30,,Stored,0.1218
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,3,0.2019,30,40,,Stored,0.1252
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,4,0.2023,40,50,,Stored,0.1298
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,5,0.2098,50,60,,Stored,0.1393
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,6,0.207,60,70,,Stored,0.1372
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,7,0.1844,70,80,,Stored,0.122
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,8,0.2049,80,90,10.79,Stored,0.1398
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,9,0.1889,90,100,,Stored,0.1235
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,10,0.2076,100,110,"appears to be in transition, sapwood to heartwood (change from light to dark wood)",Stored,0.1182
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,11,0.2465,110,120,,Stored,0.1228
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,12,0.2389,120,130,,Stored,0.1152
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,13,0.2304,130,140,,Stored,0.1144
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,14,0.239,140,150,,Stored,0.1172
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,15,0.2417,150,160,,Stored,0.1224
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,16,0.2453,160,170,"Small piece (first recording of including small piece in foil, had some from Alph but didn't note)",Stored,0.1234
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,17,0.2354,170,180,,Stored,0.1159
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,18,0.2298,180,190,,Stored,0.1104
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,19,0.2514,190,200,,Stored,0.1285
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,20,0.2475,200,210,,Stored,0.126
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,21,0.2354,210,220,,Stored,0.117
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,22,0.2498,220,230,,Stored,0.1224
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,23,0.2581,230,240,,Stored,0.1268
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,24,0.2388,240,250,,Stored,0.1163
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,25,0.2422,250,260,,Stored,0.1172
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,26,0.2527,260,270,,Stored,0.1238
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,27,0.2444,270,280,,Stored,0.1234
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,28,0.2477,280,290,,Stored,0.1193
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,29,0.2421,290,300,,Stored,0.1146
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,30,0.2515,300,310,,Stored,0.1159
